mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
38,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
39,1,1,1.0,10000000.0,neutron,total,flux,6.519058518070369e-07,5.123837534904973e-07
39,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
39,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
40,1,1,1.0,10000000.0,neutron,total,flux,1.3552652470284804e-06,9.384807216518566e-07
40,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
40,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
41,1,1,1.0,10000000.0,neutron,total,flux,4.413786758279193e-07,4.4137867582791924e-07
41,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
41,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
42,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
42,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
42,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
43,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
43,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
43,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
44,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
44,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
44,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
45,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
45,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
45,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
46,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
46,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
46,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
47,1,1,1.0,10000000.0,neutron,total,flux,6.879061200655833e-07,6.879061200655833e-07
47,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
47,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
48,1,1,1.0,10000000.0,neutron,total,flux,7.728987388978263e-07,5.450865979702806e-07
48,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
48,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
49,1,1,1.0,10000000.0,neutron,total,flux,3.028560466888e-07,3.0285604668879994e-07
49,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
49,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
50,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
50,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
50,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
51,1,1,1.0,10000000.0,neutron,total,flux,0.0,0.0
