mesh 1 x,mesh 1 y,mesh 1 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
64,1,1,1.0,10000000.0,neutron,total,flux,5.84978309871814e-07,5.84978309871814e-07
64,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
64,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
65,1,1,1.0,10000000.0,neutron,total,flux,4.306122910194799e-06,1.8666379950729589e-06
65,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
65,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
66,1,1,1.0,10000000.0,neutron,total,flux,3.5340080752818736e-06,1.2006660914511712e-06
66,1,1,10000000.0,14000000.0,neutron,total,flux,8.27665589418512e-07,8.27665589418512e-07
66,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
67,1,1,1.0,10000000.0,neutron,total,flux,2.1707025896023474e-06,1.107545941027073e-06
67,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
67,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
68,1,1,1.0,10000000.0,neutron,total,flux,2.5148726832258113e-06,1.3187229353213127e-06
68,1,1,10000000.0,14000000.0,neutron,total,flux,8.820072650209259e-07,8.820072650209258e-07
68,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
69,1,1,1.0,10000000.0,neutron,total,flux,1.4260397144264983e-06,9.518984133644844e-07
69,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
69,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
70,1,1,1.0,10000000.0,neutron,total,flux,7.929633400466576e-07,7.929633400466576e-07
70,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
70,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
71,1,1,1.0,10000000.0,neutron,total,flux,2.941240007823397e-06,1.2315714895962329e-06
71,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
71,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
72,1,1,1.0,10000000.0,neutron,total,flux,3.6816743242937255e-06,1.6893773212078857e-06
72,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
72,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
73,1,1,1.0,10000000.0,neutron,total,flux,2.335625733850966e-06,1.2010502501152462e-06
73,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
73,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
74,1,1,1.0,10000000.0,neutron,total,flux,3.0602084359765406e-06,1.2674767438555265e-06
74,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
74,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
75,1,1,1.0,10000000.0,neutron,total,flux,2.985011669133744e-06,9.519054226484267e-07
75,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
75,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
76,1,1,1.0,10000000.0,neutron,total,flux,5.927025436956634e-06,2.4889344842469856e-06
76,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
76,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
77,1,1,1.0,10000000.0,neutron,total,flux,3.6761729514157812e-06,1.5932269249049953e-06
77,1,1,10000000.0,14000000.0,neutron,total,flux,0.0,0.0
77,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
78,1,1,1.0,10000000.0,neutron,total,flux,3.472203671598195e-06,1.2974251704335806e-06
78,1,1,10000000.0,14000000.0,neutron,total,flux,1.9870115311017924e-07,1.9870115311017927e-07
78,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
79,1,1,1.0,10000000.0,neutron,total,flux,5.808453531156053e-06,1.9636198696253086e-06
79,1,1,10000000.0,14000000.0,neutron,total,flux,1.3820746655544965e-06,9.253651130598641e-07
