,mesh 2 x,mesh 2 y,mesh 2 z,energy low [eV],energy high [eV],particle,nuclide,score,mean,std. dev.
165,56,1,1,1.0,10000000.0,neutron,total,flux,0.00022498235221199677,2.3399246537176383e-05
166,56,1,1,10000000.0,14000000.0,neutron,total,flux,2.0449103106172893e-06,5.681786507860807e-07
167,56,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
168,57,1,1,1.0,10000000.0,neutron,total,flux,0.0001971382035038325,1.9545217165601064e-05
169,57,1,1,10000000.0,14000000.0,neutron,total,flux,2.2367650649985576e-06,8.191873637213864e-07
170,57,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
171,58,1,1,1.0,10000000.0,neutron,total,flux,0.0001419045342254791,1.4382823714804999e-05
172,58,1,1,10000000.0,14000000.0,neutron,total,flux,1.748704692923382e-06,5.046491066714503e-07
173,58,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
174,59,1,1,1.0,10000000.0,neutron,total,flux,0.00012281801127038078,8.999883652925525e-06
175,59,1,1,10000000.0,14000000.0,neutron,total,flux,2.1151483600619524e-06,6.953629769458971e-07
176,59,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
177,60,1,1,1.0,10000000.0,neutron,total,flux,7.345920308151951e-05,8.880129647766987e-06
178,60,1,1,10000000.0,14000000.0,neutron,total,flux,1.8537815302896392e-06,6.337159394235048e-07
179,60,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
180,61,1,1,1.0,10000000.0,neutron,total,flux,3.3056435728062155e-05,2.6326173935487074e-06
181,61,1,1,10000000.0,14000000.0,neutron,total,flux,8.095688952288453e-07,3.2406472434446383e-07
182,61,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
183,62,1,1,1.0,10000000.0,neutron,total,flux,2.6241903211360672e-05,3.291610308111597e-06
184,62,1,1,10000000.0,14000000.0,neutron,total,flux,7.12199570123272e-07,3.63168384215039e-07
185,62,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
186,63,1,1,1.0,10000000.0,neutron,total,flux,2.6904469497688352e-05,3.734914703266111e-06
187,63,1,1,10000000.0,14000000.0,neutron,total,flux,7.117743552437217e-07,3.629417983160728e-07
188,63,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
189,64,1,1,1.0,10000000.0,neutron,total,flux,2.578671559047881e-05,3.603410239319384e-06
190,64,1,1,10000000.0,14000000.0,neutron,total,flux,6.669221295395313e-07,3.4149914405821223e-07
191,64,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
192,65,1,1,1.0,10000000.0,neutron,total,flux,2.6429531120800142e-05,2.8379693728635065e-06
193,65,1,1,10000000.0,14000000.0,neutron,total,flux,4.6848117141761343e-07,3.1282608371815255e-07
194,65,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
195,66,1,1,1.0,10000000.0,neutron,total,flux,2.6313033259205703e-05,2.832088723361098e-06
196,66,1,1,10000000.0,14000000.0,neutron,total,flux,4.6808171604461674e-07,3.1254579658698814e-07
197,66,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
198,67,1,1,1.0,10000000.0,neutron,total,flux,2.5916701335684376e-05,2.7790840021629793e-06
199,67,1,1,10000000.0,14000000.0,neutron,total,flux,4.676877304098525e-07,3.1226953678299566e-07
200,67,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
201,68,1,1,1.0,10000000.0,neutron,total,flux,2.5253824697794993e-05,2.468227165460652e-06
202,68,1,1,10000000.0,14000000.0,neutron,total,flux,4.6729910698660433e-07,3.1199722130343766e-07
203,68,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
204,69,1,1,1.0,10000000.0,neutron,total,flux,2.4033995051827202e-05,2.051926741423437e-06
205,69,1,1,10000000.0,14000000.0,neutron,total,flux,4.669157410504113e-07,3.1172876940196185e-07
206,69,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
207,70,1,1,1.0,10000000.0,neutron,total,flux,2.37707127014727e-05,1.8425220445316329e-06
208,70,1,1,10000000.0,14000000.0,neutron,total,flux,4.665375305875613e-07,3.114641025122321e-07
209,70,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
210,71,1,1,1.0,10000000.0,neutron,total,flux,2.393438766446998e-05,1.6911521613015694e-06
211,71,1,1,10000000.0,14000000.0,neutron,total,flux,4.661643762069956e-07,3.112031441745323e-07
212,71,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
213,72,1,1,1.0,10000000.0,neutron,total,flux,2.349497845590294e-05,1.6428287440566812e-06
214,72,1,1,10000000.0,14000000.0,neutron,total,flux,4.657961810559414e-07,3.1094581996550357e-07
215,72,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
216,73,1,1,1.0,10000000.0,neutron,total,flux,2.2692074142591815e-05,1.6214643419763384e-06
217,73,1,1,10000000.0,14000000.0,neutron,total,flux,4.654328507382161e-07,3.106920574303001e-07
218,73,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
219,74,1,1,1.0,10000000.0,neutron,total,flux,2.129848229342962e-05,2.0390168231270435e-06
220,74,1,1,10000000.0,14000000.0,neutron,total,flux,4.650742932365915e-07,3.104417860180402e-07
221,74,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
222,75,1,1,1.0,10000000.0,neutron,total,flux,2.0215723784396968e-05,1.6760804921848816e-06
223,75,1,1,10000000.0,14000000.0,neutron,total,flux,4.647204188372484e-07,3.101949370192091e-07
224,75,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
225,76,1,1,1.0,10000000.0,neutron,total,flux,2.057872769547826e-05,1.796011053679526e-06
226,76,1,1,10000000.0,14000000.0,neutron,total,flux,7.894331997145025e-07,4.1011086321911267e-07
227,76,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
228,77,1,1,1.0,10000000.0,neutron,total,flux,1.9048686975439423e-05,1.9880678980252364e-06
229,77,1,1,10000000.0,14000000.0,neutron,total,flux,8.232318922996458e-07,4.3348526277213154e-07
230,77,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
231,78,1,1,1.0,10000000.0,neutron,total,flux,1.9157101589841736e-05,1.8406506232379366e-06
232,78,1,1,10000000.0,14000000.0,neutron,total,flux,8.227580197461522e-07,4.332525299066044e-07
233,78,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
234,79,1,1,1.0,10000000.0,neutron,total,flux,1.8618252631913107e-05,1.8410968876844664e-06
235,79,1,1,10000000.0,14000000.0,neutron,total,flux,8.519857865499164e-07,4.277430298952765e-07
236,79,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
237,80,1,1,1.0,10000000.0,neutron,total,flux,1.91832583677779e-05,2.1711505531446022e-06
238,80,1,1,10000000.0,14000000.0,neutron,total,flux,1.0481331514157662e-06,4.440681216910508e-07
239,80,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
240,81,1,1,1.0,10000000.0,neutron,total,flux,1.9002556974833068e-05,2.182961986336267e-06
241,81,1,1,10000000.0,14000000.0,neutron,total,flux,1.0475999518030225e-06,4.438522236626844e-07
242,81,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
243,82,1,1,1.0,10000000.0,neutron,total,flux,1.7263440133076178e-05,2.1470505189780728e-06
244,82,1,1,10000000.0,14000000.0,neutron,total,flux,1.047072952526765e-06,4.436388968316686e-07
245,82,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
246,83,1,1,1.0,10000000.0,neutron,total,flux,1.8243373253484708e-05,2.4518867618316385e-06
247,83,1,1,10000000.0,14000000.0,neutron,total,flux,6.993230204576359e-07,3.4840056111325407e-07
248,83,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
249,84,1,1,1.0,10000000.0,neutron,total,flux,1.9616810947278387e-05,2.98816376778367e-06
250,84,1,1,10000000.0,14000000.0,neutron,total,flux,6.877381595048059e-07,3.5046354467796387e-07
251,84,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
252,85,1,1,1.0,10000000.0,neutron,total,flux,1.9061934214827174e-05,2.9311347587435e-06
253,85,1,1,10000000.0,14000000.0,neutron,total,flux,5.290018866458842e-07,3.064232199683943e-07
254,85,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
255,86,1,1,1.0,10000000.0,neutron,total,flux,1.9468370354159847e-05,2.8793612936660114e-06
256,86,1,1,10000000.0,14000000.0,neutron,total,flux,4.651983916970955e-07,3.1029493332475646e-07
257,86,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
258,87,1,1,1.0,10000000.0,neutron,total,flux,2.0322744549766502e-05,3.525185845343075e-06
259,87,1,1,10000000.0,14000000.0,neutron,total,flux,4.6484597737136323e-07,3.1005510650748147e-07
260,87,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
261,88,1,1,1.0,10000000.0,neutron,total,flux,1.979603030927875e-05,3.6824217192877966e-06
262,88,1,1,10000000.0,14000000.0,neutron,total,flux,6.768557852364077e-07,4.815032963934848e-07
263,88,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
264,89,1,1,1.0,10000000.0,neutron,total,flux,1.90086073301423e-05,3.32229938267275e-06
265,89,1,1,10000000.0,14000000.0,neutron,total,flux,1.0140894066889966e-06,4.837742415922961e-07
266,89,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
267,90,1,1,1.0,10000000.0,neutron,total,flux,1.89379927865644e-05,3.0564016676259763e-06
268,90,1,1,10000000.0,14000000.0,neutron,total,flux,1.1428997408300548e-06,5.09980237028543e-07
269,90,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
270,91,1,1,1.0,10000000.0,neutron,total,flux,1.9463390706889154e-05,2.951039111945643e-06
271,91,1,1,10000000.0,14000000.0,neutron,total,flux,1.1424702489640708e-06,5.097318767625362e-07
272,91,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
273,92,1,1,1.0,10000000.0,neutron,total,flux,1.9811780112288255e-05,3.084295981014111e-06
274,92,1,1,10000000.0,14000000.0,neutron,total,flux,1.1420455570779497e-06,5.094864380570336e-07
275,92,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
276,93,1,1,1.0,10000000.0,neutron,total,flux,1.9496491877228663e-05,2.8124105787303114e-06
277,93,1,1,10000000.0,14000000.0,neutron,total,flux,1.3044119708230047e-06,4.945004603037353e-07
278,93,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
279,94,1,1,1.0,10000000.0,neutron,total,flux,1.8517289541613036e-05,2.7503804384902745e-06
280,94,1,1,10000000.0,14000000.0,neutron,total,flux,1.3879241844978651e-06,5.073319906266685e-07
281,94,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
282,95,1,1,1.0,10000000.0,neutron,total,flux,1.842219012922976e-05,2.5363549142534332e-06
283,95,1,1,10000000.0,14000000.0,neutron,total,flux,1.3873990063930822e-06,5.070893917837968e-07
284,95,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
285,96,1,1,1.0,10000000.0,neutron,total,flux,1.7858797173723223e-05,2.5307724667467373e-06
286,96,1,1,10000000.0,14000000.0,neutron,total,flux,1.3868794899374849e-06,5.068495639955953e-07
287,96,1,1,14000000.0,20000000.0,neutron,total,flux,0.0,0.0
