mesh 1,mesh 1,mesh 1,nuclide,score,mean,std. dev.
x,y,z,,,,
128,1,1,total,heating-local,0.0,0.0
128,1,1,total,absorption,2.1742840088336663e-08,2.174284008833666e-08
129,1,1,total,flux,3.1215573276591337e-06,2.4452258500479114e-06
129,1,1,total,"(n,Xt)",0.0,0.0
129,1,1,total,heating-local,0.0,0.0
129,1,1,total,absorption,2.1672562092856964e-08,2.1672562092856964e-08
130,1,1,total,flux,2.4155786520236126e-06,2.415578652023612e-06
130,1,1,total,"(n,Xt)",0.0,0.0
130,1,1,total,heating-local,0.0,0.0
130,1,1,total,absorption,2.160455986746704e-08,2.160455986746704e-08
131,1,1,total,flux,3.627932089019243e-06,2.539523317214527e-06
131,1,1,total,"(n,Xt)",0.0,0.0
131,1,1,total,heating-local,0.0,0.0
131,1,1,total,absorption,4.881284389350813e-07,4.6468978484023506e-07
132,1,1,total,flux,5.114201244964705e-06,2.7557403770232337e-06
132,1,1,total,"(n,Xt)",0.0,0.0
132,1,1,total,heating-local,0.0,0.0
132,1,1,total,absorption,5.735727175529804e-07,5.501257709316529e-07
133,1,1,total,flux,5.101878904575017e-06,2.7490608519611766e-06
133,1,1,total,"(n,Xt)",0.0,0.0
133,1,1,total,heating-local,0.0,0.0
133,1,1,total,absorption,5.711531450594808e-07,5.477742252094281e-07
134,1,1,total,flux,5.089947309819296e-06,2.7425931376102104e-06
134,1,1,total,"(n,Xt)",0.0,0.0
134,1,1,total,heating-local,0.0,0.0
134,1,1,total,absorption,5.688172155339229e-07,5.455042295757081e-07
135,1,1,total,flux,5.078388763689475e-06,2.7363276468936283e-06
135,1,1,total,"(n,Xt)",0.0,0.0
135,1,1,total,heating-local,0.0,0.0
135,1,1,total,absorption,5.665607956046466e-07,5.433117412079071e-07
136,1,1,total,flux,5.067186628394141e-06,2.730255366222954e-06
136,1,1,total,"(n,Xt)",0.0,0.0
136,1,1,total,heating-local,0.0,0.0
136,1,1,total,absorption,5.643800201827025e-07,5.411929804669533e-07
137,1,1,total,flux,5.056325245972119e-06,2.7243678125013383e-06
137,1,1,total,"(n,Xt)",0.0,0.0
137,1,1,total,heating-local,0.0,0.0
137,1,1,total,absorption,5.6227127086049e-07,5.391444096506857e-07
138,1,1,total,flux,5.045789866069669e-06,2.7186569940142915e-06
138,1,1,total,"(n,Xt)",0.0,0.0
138,1,1,total,heating-local,0.0,0.0
138,1,1,total,absorption,5.602311563830652e-07,5.371627137905376e-07
139,1,1,total,flux,6.755725229715152e-06,4.175755984707489e-06
139,1,1,total,"(n,Xt)",0.0,0.0
139,1,1,total,heating-local,0.0,0.0
139,1,1,total,absorption,6.661298275316791e-07,5.383255289060482e-07
